Cert Insights Monthly From (1 May 2025 to 31 May 2025)
Partner,Slug,Name,TotalUniqueEarnedCertificate,TotalUniqueCertAddedToProfile
"Microsoft-Portugese","fundamentos-para-assistentes-administrativos-por-microsoft-e-linkedin","Fundamentos Profissionais de Assistencia Administrativa da Microsoft e do LinkedIn",12,0
"Linkedin","generative-ai-for-learning-and-development-professional-certificate-by-linkedin-learning","Generative AI for Learning and Development Professional Certificate by LinkedIn Learning",105,78
"Microsoft","microsoft-azure-ai-essentials-professional-certificate-by-microsoft-and-linkedin","Microsoft Azure AI Essentials Professional Certificate by Microsoft and LinkedIn",771,500
"CSCMP","cscmp-supply-chain-foundations-the-essentials-professional-certificate","CSCMP Supply Chain Foundations: The Essentials Professional Certificate",224,163
"Microsoft","career-essentials-in-software-development-by-microsoft-and-linkedin","Career Essentials in Software Development by Microsoft and LinkedIn",370,269
"CFI","cfi-corporate-finance-foundations-professional-certificate","CFI Corporate Finance Foundations Professional Certificate",335,235
"Microsoft","career-essentials-in-project-management-by-microsoft-and-linkedin","Career Essentials in Project Management by Microsoft and LinkedIn",671,469
"Microsoft-Mandarin","46b0b737-2e9a-3192-8882-580ee44473a7","生成式 AI 职业技能基础（微软与领英联合制作）",57,9
"Docker","docker-foundations-professional-certificate","Docker Foundations Professional Certificate",639,484
"Atlassian","atlassian-it-service-management-itsm-professional-certificate","Atlassian IT Service Management (ITSM) Professional Certificate",204,148
"Microsoft-Japanese","e6d6cd6c-c79d-38d0-af11-8f571f2ed728","生成AIの基礎知識 by Microsoft x LinkedIn",110,4
"Microsoft-French","l-intelligence-artificielle-pour-les-managers-par-microsoft-et-linkedin","L’intelligence artificielle pour les managers par Microsoft et LinkedIn",14,1
"Microsoft-Portugese","fundamentos-para-desenvolvimento-de-software-por-microsoft-e-linkedin","Fundamentos Profissionais de Desenvolvimento de Software por Microsoft e LinkedIn",15,0
"Microsoft","career-essentials-in-sustainable-tech-by-microsoft-and-linkedin","Career Essentials in Sustainable Tech by Microsoft and LinkedIn",377,239
